ITERATION,dist_type,hist_type,num_bins,run_time,score
1,l2,rg,35.0,8.224202394485474,0.5617977528089888
1,l2,rgb,100.0,121.23958826065063,0.2696629213483146
1,l2,rgb,110.0,148.06279015541077,0.24719101123595505
1,chi2,rgb,120.0,477.68090081214905,0.24719101123595505
1,l2,rgb,120.0,175.89659810066223,0.23595505617977527
1,intersect,rg,50.0,10.238846063613892,0.7303370786516854
1,chi2,rg,75.0,13.064585208892822,0.4157303370786517
1,chi2,rg,155.0,18.651310682296753,0.3707865168539326
1,l2,dxdy,140.0,20.278037071228027,0.3146067415730337
1,chi2,rg,30.0,17.540940523147583,0.47191011235955055
1,l2,rgb,40.0,22.738630533218384,0.33707865168539325
1,chi2,rg,70.0,19.184775352478027,0.33707865168539325
1,chi2,dxdy,55.0,22.26819944381714,0.3707865168539326
1,l2,dxdy,35.0,21.140384912490845,0.3707865168539326
1,intersect,dxdy,65.0,21.265952587127686,0.5056179775280899
1,l2,dxdy,150.0,23.768280506134033,0.3146067415730337
1,intersect,dxdy,40.0,20.84783935546875,0.47191011235955055
1,intersect,grayvalue,40.0,0.8862853050231934,0.5280898876404494
1,chi2,grayvalue,25.0,1.0387842655181885,0.4157303370786517
1,intersect,rg,20.0,19.761961936950684,0.7303370786516854
1,intersect,dxdy,80.0,22.430467128753662,0.4943820224719101
1,intersect,rg,30.0,19.575069189071655,0.7303370786516854
1,chi2,grayvalue,135.0,1.2182800769805908,0.33707865168539325
1,intersect,dxdy,100.0,22.753928899765015,0.5168539325842697
1,l2,rg,155.0,21.151347637176514,0.3595505617977528
1,intersect,grayvalue,150.0,1.1822938919067383,0.42696629213483145
1,l2,dxdy,65.0,22.002866744995117,0.3595505617977528
1,l2,rg,145.0,20.060113668441772,0.3595505617977528
1,l2,rgb,60.0,37.929269552230835,0.33707865168539325
1,l2,grayvalue,125.0,1.1068346500396729,0.30337078651685395
1,intersect,grayvalue,100.0,1.0627741813659668,0.42696629213483145
1,intersect,dxdy,10.0,21.201877117156982,0.43820224719101125
1,chi2,grayvalue,125.0,1.179009199142456,0.33707865168539325
1,l2,rg,45.0,18.423093795776367,0.4943820224719101
1,chi2,dxdy,40.0,23.42618417739868,0.3707865168539326
1,chi2,rg,100.0,19.480913400650024,0.33707865168539325
1,l2,dxdy,45.0,22.82499074935913,0.3595505617977528
1,chi2,rgb,55.0,77.23208713531494,0.3707865168539326
1,l2,rg,40.0,15.055558443069458,0.4157303370786517
1,intersect,grayvalue,140.0,1.1169614791870117,0.42696629213483145
1,intersect,grayvalue,30.0,0.9937043190002441,0.5056179775280899
1,intersect,dxdy,110.0,23.673617601394653,0.449438202247191
1,intersect,grayvalue,125.0,1.1193318367004395,0.5280898876404494
1,l2,rg,30.0,14.37465763092041,0.43820224719101125
1,intersect,dxdy,140.0,24.395739316940308,0.449438202247191
1,chi2,dxdy,60.0,22.56586527824402,0.3707865168539326
1,l2,rgb,75.0,54.78027939796448,0.3258426966292135
1,intersect,dxdy,100.0,21.602878093719482,0.5168539325842697
1,intersect,rg,115.0,20.245091676712036,0.7528089887640449
1,chi2,rg,95.0,20.67084503173828,0.3595505617977528
1,chi2,rg,5.0,18.985400199890137,0.651685393258427
1,chi2,rg,75.0,18.732512712478638,0.4157303370786517
1,intersect,grayvalue,55.0,1.0099036693572998,0.5168539325842697
1,l2,grayvalue,55.0,1.037729263305664,0.38202247191011235
1,l2,dxdy,140.0,25.972941875457764,0.3146067415730337
1,l2,rgb,40.0,29.08165693283081,0.33707865168539325
1,chi2,rg,125.0,17.311293363571167,0.38202247191011235
1,intersect,rg,25.0,15.599286556243896,0.8426966292134831
1,intersect,grayvalue,25.0,0.9680581092834473,0.48314606741573035
1,chi2,grayvalue,10.0,1.0684092044830322,0.47191011235955055
1,intersect,rg,50.0,16.9419264793396,0.7303370786516854
1,l2,dxdy,115.0,21.134026288986206,0.3258426966292135
1,l2,grayvalue,75.0,1.0857017040252686,0.38202247191011235
1,intersect,grayvalue,120.0,1.1376631259918213,0.43820224719101125
1,intersect,dxdy,125.0,20.307950735092163,0.47191011235955055
1,intersect,dxdy,30.0,20.573134422302246,0.47191011235955055
1,intersect,grayvalue,115.0,1.1855018138885498,0.550561797752809
1,intersect,rgb,45.0,27.83367347717285,0.8764044943820225
1,l2,dxdy,65.0,18.295701503753662,0.3595505617977528
1,intersect,dxdy,85.0,22.80594229698181,0.4943820224719101
1,l2,rg,40.0,16.26338768005371,0.4157303370786517
1,intersect,grayvalue,145.0,1.0671555995941162,0.5393258426966292
1,chi2,grayvalue,135.0,4.7048914432525635,0.33707865168539325
1,chi2,grayvalue,95.0,1.385146141052246,0.3707865168539326
1,l2,dxdy,5.0,26.3015615940094,0.2808988764044944
